label,text
0,"Subject: Re: Your recent inquiry about our services. Thank you for contacting us regarding our consulting services. I wanted to follow up on your inquiry and provide you with some additional information that might be helpful for your decision-making process."
1,"URGENT: Your account has been compromised! Click here immediately to verify your identity and secure your account. Limited time offer - act now or lose access forever!"
0,"Hi there, hope you're doing well. Just wanted to check in and see how your project is coming along. Let me know if you need any assistance or have questions."
1,"Congratulations! You've won $10,000! Claim your prize now by clicking this link and providing your personal information. This offer expires in 24 hours!"
0,"Meeting reminder: Our quarterly review meeting is scheduled for tomorrow at 2 PM in the main conference room. Please bring your reports and quarterly summaries."
1,"MAKE MONEY FAST! Work from home and earn $5000 per week! No experience necessary! Click here to get started with this amazing opportunity!"
0,"Thank you for your purchase. Your order has been processed and will be shipped within 2-3 business days. You will receive a tracking number via email."
1,"Your computer is infected with 247 viruses! Download our antivirus software immediately to protect your system. Act now before it's too late!"
0,"Regarding the document you requested, please find it attached to this email. If you have any questions or need clarification on any points, feel free to reach out."
1,"Free iPhone! You've been selected to receive a brand new iPhone absolutely free! Just pay shipping and handling costs. Limited quantities available!"
0,"Please review the attached contract and let me know if you have any questions. We can schedule a call to discuss the terms in detail if needed."
1,"LOSE 30 POUNDS IN 30 DAYS! Revolutionary new diet pill guarantees weight loss without exercise or diet changes! Order now and get 50% off!"
0,"The conference call for next Tuesday has been moved to 3 PM due to scheduling conflicts. The dial-in number and access code remain the same."
1,"Nigerian Prince needs your help! I have $25 million dollars to share with you. Just send your bank account details and receive your portion immediately!"
0,"Happy birthday! Hope you have a wonderful day celebrating with family and friends. Looking forward to seeing you at the party this weekend."
1,"Your warranty is about to expire! Extend your car warranty now and save thousands on repairs. Don't wait - this offer ends soon!"
0,"The IT department will be performing scheduled maintenance on the email servers this weekend. There may be brief interruptions in email service."
1,"PHARMACY ONLINE - No prescription needed! Get all your medications at 80% off retail prices! Viagra, Cialis, and more available now!"
0,"Thanks for the great presentation yesterday. The client was very impressed with our proposal. I think we have a good chance of winning this contract."
1,"You've won the lottery! A prize of $500,000 is waiting for you! Contact us immediately with your personal details to claim your winnings!"
0,"Please complete the employee satisfaction survey by Friday. Your feedback is important to help us improve the workplace environment."
1,"URGENT SECURITY ALERT: Your online banking has been suspended due to suspicious activity. Click here to reactivate your account immediately!"
0,"The team lunch has been scheduled for next Friday at noon. Please let me know about any dietary restrictions so we can accommodate everyone."
1,"Make millions in real estate with no money down! Attend our free seminar and learn the secrets of successful property investment!"
0,"Could you please send me the quarterly sales figures when you have a chance? I need them for the board presentation next week."
1,"Your email account will be deleted in 24 hours unless you verify your identity! Click this link and enter your password to keep your account active!"
0,"The annual company picnic will be held on June 15th at the city park. More details about activities and food will be sent out next week."
1,"CASH ADVANCE - Get up to $1000 in your account today! No credit check required! Apply now and get money in minutes!"
0,"Please find attached the revised budget proposal for the marketing department. I've incorporated all the feedback from last week's meeting."
1,"ADULT CONTENT WARNING: Click here to access exclusive adult entertainment! Hundreds of videos available for immediate download!"
0,"The new employee orientation is scheduled for Monday morning at 9 AM in the training room. Please bring your completed paperwork."
